descriptor,reason,r
RDKit_EState_VSA4,constant,
RDKit_EState_VSA5,constant,
RDKit_EState_VSA6,constant,
RDKit_EState_VSA7,constant,
RDKit_NumBridgeheadAtoms,constant,
RDKit_NumRadicalElectrons,constant,
RDKit_NumSpiroAtoms,constant,
RDKit_SMR_VSA8,constant,
RDKit_SlogP_VSA9,constant,
RDKit_fr_Al_COO,constant,
RDKit_fr_Al_OH_noTert,constant,
RDKit_fr_C_S,constant,
RDKit_fr_HOCCN,constant,
RDKit_fr_N_O,constant,
RDKit_fr_Ndealkylation2,constant,
RDKit_fr_SH,constant,
RDKit_fr_alkyl_carbamate,constant,
RDKit_fr_amidine,constant,
RDKit_fr_azide,constant,
RDKit_fr_barbitur,constant,
RDKit_fr_diazo,constant,
RDKit_fr_guanido,constant,
RDKit_fr_hdrzine,constant,
RDKit_fr_isocyan,constant,
RDKit_fr_isothiocyan,constant,
RDKit_fr_lactam,constant,
RDKit_fr_lactone,constant,
RDKit_fr_morpholine,constant,
RDKit_fr_nitrile,constant,
RDKit_fr_nitro_arom_nonortho,constant,
RDKit_fr_nitroso,constant,
RDKit_fr_oxazole,constant,
RDKit_fr_oxime,constant,
RDKit_fr_piperdine,constant,
RDKit_fr_piperzine,constant,
RDKit_fr_prisulfonamd,constant,
RDKit_fr_quatN,constant,
RDKit_fr_sulfide,constant,
RDKit_fr_term_acetylene,constant,
RDKit_fr_tetrazole,constant,
RDKit_fr_thiazole,constant,
RDKit_fr_thiocyan,constant,
RDKit_fr_thiophene,constant,
RDKit_fr_unbrch_alkane,constant,
RDKit_MaxEStateIndex,correlated_with_RDKit_MaxAbsEStateIndex,1.0
RDKit_fr_amide,correlated_with_RDKit_NumAmideBonds,1.0
RDKit_fr_benzene,correlated_with_RDKit_NumAromaticCarbocycles,1.0
RDKit_NumUnspecifiedAtomStereoCenters,correlated_with_RDKit_NumAtomStereoCenters,1.0
RDKit_RingCount,correlated_with_RDKit_NumRings,1.0
RDKit_fr_COO,correlated_with_RDKit_fr_Ar_COO,1.0
RDKit_fr_COO2,correlated_with_RDKit_fr_Ar_COO,1.0
RDKit_fr_Nhpyrrole,correlated_with_RDKit_fr_Ar_NH,1.0
RDKit_fr_phos_ester,correlated_with_RDKit_fr_phos_acid,1.0
RDKit_MolWt,correlated_with_RDKit_ExactMolWt,0.9999924914510444
RDKit_Chi1,correlated_with_RDKit_NumBonds,0.9995258533535882
RDKit_Chi1n,correlated_with_RDKit_Chi0n,0.9993224707202047
RDKit_NumAtoms,correlated_with_RDKit_Chi0,0.9989252609219708
RDKit_HeavyAtomMolWt,correlated_with_RDKit_ExactMolWt,0.9986416532251415
RDKit_HeavyAtomCount,correlated_with_RDKit_NumValenceElectrons,0.9959302107367217
RDKit_NumBonds,correlated_with_RDKit_Chi0,0.9957870203314553
RDKit_Chi0v,correlated_with_RDKit_ExactMolWt,0.9953198824563527
RDKit_MolMR,correlated_with_RDKit_LabuteASA,0.9946114746241531
RDKit_Chi4n,correlated_with_RDKit_Chi3n,0.9931601100946433
RDKit_Chi0n,correlated_with_RDKit_Chi0,0.9918941664920596
RDKit_Chi3n,correlated_with_RDKit_Chi2n,0.9900292719075781
RDKit_LabuteASA,correlated_with_RDKit_NumValenceElectrons,0.9884469324724169
RDKit_Chi3v,correlated_with_RDKit_Chi2v,0.9853791704471492
RDKit_Ipc,correlated_with_RDKit_NumSaturatedCarbocycles,0.9847937817096498
RDKit_Chi1v,correlated_with_RDKit_Chi2v,0.9787048041346191
RDKit_BertzCT,correlated_with_RDKit_EState_VSA1,0.9782105026273311
RDKit_NumValenceElectrons,correlated_with_RDKit_ExactMolWt,0.9758619958192777
RDKit_fr_phenol,correlated_with_RDKit_fr_Ar_OH,0.9750185119727892
RDKit_FpDensityMorgan3,correlated_with_RDKit_FpDensityMorgan2,0.9743359346639321
RDKit_Chi0,correlated_with_RDKit_VSA_EState1,0.9670453942717022
RDKit_FpDensityMorgan2,correlated_with_RDKit_FpDensityMorgan1,0.9659816798572812
RDKit_Kappa2,correlated_with_RDKit_Kappa3,0.964734151074213
RDKit_SlogP_VSA12,correlated_with_RDKit_VSA_EState10,0.9641674059845009
RDKit_fr_C_O_noCOO,correlated_with_RDKit_fr_C_O,0.9554661743348111
RDKit_VSA_EState3,correlated_with_RDKit_fr_nitro,0.9544309086268461
RDKit_Chi4v,correlated_with_RDKit_Chi2v,0.9534864516180028
RDKit_TPSA,correlated_with_RDKit_NOCount,0.9520443852365355
